# Size Bubble Insertion Selection Quick Merge Shell TimSort
1000 0.001000 0.001000 0.001000 0.000000 0.000000 0.000000 0.000000
2000 0.005000 0.002000 0.002000 0.000000 0.001000 0.000000 0.000000
4000 0.023000 0.007000 0.011000 0.001000 0.001000 0.000000 0.000000
8000 0.079000 0.028000 0.041000 0.001000 0.002000 0.001000 0.000000
16000 0.308000 0.123000 0.168000 0.002000 0.003000 0.003000 0.001000
32000 0.000000 0.000000 0.000000 0.003000 0.007000 0.006000 0.005000
64000 0.000000 0.000000 0.000000 0.007000 0.014000 0.013000 0.007000
128000 0.000000 0.000000 0.000000 0.012000 0.026000 0.029000 0.015000
256000 0.000000 0.000000 0.000000 0.025000 0.056000 0.073000 0.038000
512000 0.000000 0.000000 0.000000 0.055000 0.117000 0.163000 0.068000
1000000 0.000000 0.000000 0.000000 0.113000 0.225000 0.293000 0.131000
